Sample Name,Hexosyl indole-3-carboxylate,Indol-3-ylmethylamine,4-Methoxy-indol-3-ylmethylglucosinolate,Methyl indole-3-carboxylate,SureCN668028,Methyl indole-3-carboxylate.1,Camalexin,Camalexin.1,Camalexin.2,3-Hydroxy-3-(thiazol-2-yl)indolin-2-one,"methyl (2E)-2-(3H-1,3-benzothiazol-2-ylidene)-2-cyanoacetate","methyl (2E)-2-(3H-1,3-benzothiazol-2-ylidene)-2-cyanoacetate.1",Camalexin.3,Ascorbigen,Dihydroascorbigen Hexoside,Ascorbigen.1,Methoxy-Dihydroascorbigen Hexoside,Hexosyl indole-3-carboxylate.1,"UNK-5 (hexoside, aglycone C9H7NO4)","UNK-14 (hexoside, aglycone C10H9NO2)",gammaGlu-Cys(IAN)-Glu,UNK-21 (camalexin metabolite),1-Methoxy-indol-3-ylmethylglucosinolate,gammaGlu-Cys(IAN),UNK-21 (camalexin metabolite).1,UNK-22 (camalexin metabolite),UNK-22 (camalexin metabolite).1,Indol-3-ylmethylglucosinolate,gammaGlu-Cys(4MeOI3M)-Gly,Dihydroascorbigen Hexoside.1,4-Methoxy-indol-3-ylmethylglucosinolate.1,Hydroxy-Dihydroascorbigen Hexoside,1-Methoxy-indol-3-ylmethylglucosinolate.1,4-Methoxy-indol-3-ylmethylglucosinolate.2,Hydroxy-Dihydroascorbigen Hexoside.1,1-Methoxy-indol-3-ylmethylglucosinolate.2,4-Methoxy-indol-3-ylmethylglucosinolate.3,gammaGlu-Cys(IAN)-Glu.1,6-Hexosyloxyindole-3-carboxylic acid,Indol-3-ylmethylglucosinolate.1,Indol-3-ylmethylglucosinolate.2,stratification_groups,response
Ex1-Col0-48h-Ag-1,7660.0,125000.0,7630.0,9250.0,11000.0,5110.0,7460.0,5220.0,10100.0,12000.0,13500.0,19100.0,4830.0,32300.0,26600.0,37500.0,8430.0,252000.0,30400.0,13800.0,40800.0,10200.0,5150.0,119000.0,6760.0,6190.0,3490.0,38000.0,13600.0,41300.0,14000.0,8120.0,2600.0,52300.0,3260.0,11400.0,41300.0,672000.0,2470.0,8600.0,28000.0,0,0
Ex1-Col0-48h-Ag-2,7550.0,114000.0,8680.0,9820.0,10800.0,4150.0,7810.0,5290.0,10800.0,11300.0,12700.0,19200.0,4050.0,29700.0,25000.0,36900.0,7580.0,249000.0,28000.0,13700.0,41900.0,9840.0,5370.0,122000.0,5430.0,6370.0,2760.0,29300.0,12300.0,40500.0,17600.0,8980.0,3670.0,54100.0,5530.0,11600.0,41700.0,653000.0,2960.0,8130.0,26600.0,0,0
Ex1-Col0-48h-Ag-3,8200.0,122000.0,10000.0,9740.0,10700.0,4660.0,7210.0,5020.0,10400.0,12600.0,12600.0,18900.0,3460.0,30600.0,26200.0,37100.0,8490.0,252000.0,28500.0,15600.0,41200.0,11200.0,6140.0,123000.0,5200.0,5890.0,3230.0,42900.0,13800.0,42200.0,18000.0,9410.0,3630.0,51800.0,6120.0,11400.0,43400.0,652000.0,3070.0,8450.0,24400.0,0,0
Ex1-Col0-48h-Ag-4,8010.0,132000.0,10200.0,9860.0,11000.0,4400.0,6910.0,4870.0,11200.0,11600.0,13700.0,16600.0,4690.0,30400.0,27800.0,36600.0,7670.0,248000.0,28200.0,12800.0,41400.0,10200.0,5290.0,125000.0,4630.0,5270.0,2760.0,45500.0,13600.0,42800.0,16800.0,9590.0,3370.0,52400.0,5190.0,12000.0,39400.0,667000.0,3330.0,8160.0,26900.0,0,0
Ex1-cyp79-48h-Ag-1,434.0,17400.0,808.0,297.0,873.0,1250.0,302.0,608.0,454.0,784.0,279.0,833.0,596.0,2850.0,3160.0,2320.0,1380.0,2640.0,3810.0,2370.0,2350.0,363.0,1360.0,1250.0,691.0,794.0,234.0,5150.0,2050.0,1700.0,2190.0,964.0,931.0,3570.0,1020.0,279.0,538.0,1560.0,851.0,490.0,425.0,2,1
Ex1-cyp79-48h-Ag-2,448.0,14800.0,779.0,302.0,992.0,943.0,380.0,603.0,595.0,463.0,259.0,743.0,556.0,1640.0,3130.0,2110.0,1950.0,2970.0,3630.0,1670.0,2680.0,372.0,1520.0,1450.0,430.0,436.0,353.0,4150.0,741.0,1430.0,2590.0,1080.0,890.0,3860.0,450.0,346.0,304.0,3180.0,516.0,172.0,680.0,2,1
Ex1-cyp79-48h-Ag-3,415.0,18700.0,1180.0,569.0,1030.0,1070.0,424.0,514.0,805.0,1030.0,224.0,445.0,516.0,2390.0,1070.0,2410.0,2430.0,5040.0,3430.0,2040.0,2360.0,476.0,1020.0,1570.0,571.0,298.0,442.0,3950.0,1930.0,1420.0,2460.0,1140.0,408.0,3940.0,1080.0,234.0,555.0,3380.0,737.0,348.0,798.0,2,1
Ex1-cyp79-48h-Ag-4,361.0,16900.0,901.0,309.0,1140.0,941.0,293.0,518.0,506.0,602.0,308.0,733.0,568.0,2250.0,2630.0,2350.0,2230.0,4170.0,3580.0,1820.0,2220.0,425.0,993.0,2930.0,499.0,394.0,325.0,4750.0,1500.0,1420.0,1840.0,934.0,491.0,3910.0,773.0,316.0,570.0,3030.0,421.0,384.0,723.0,2,1
Ex2-Col0-48h-Ag-1,7640.0,155000.0,9600.0,17000.0,7120.0,7470.0,7880.0,6040.0,11200.0,14200.0,16300.0,21200.0,3890.0,47900.0,29000.0,53100.0,10900.0,236000.0,29600.0,25500.0,31900.0,13900.0,8530.0,85800.0,6480.0,13100.0,5160.0,69300.0,10800.0,46600.0,20100.0,9370.0,5720.0,54400.0,5100.0,16900.0,39700.0,459000.0,3040.0,11600.0,31200.0,1,0
Ex2-Col0-48h-Ag-2,8960.0,156000.0,13300.0,17300.0,7240.0,6950.0,7440.0,5270.0,11100.0,13600.0,18300.0,20200.0,3260.0,31900.0,30600.0,34300.0,11200.0,245000.0,30200.0,24600.0,32500.0,15000.0,10200.0,85700.0,8100.0,16900.0,6350.0,49700.0,13000.0,50500.0,23200.0,8060.0,5670.0,59400.0,5560.0,19200.0,44200.0,490000.0,4350.0,11500.0,48300.0,1,0
